id,marketplace,source_file,operation_id,method,server_url,path_template,tags_json,category,summary,description,x_readonly_method,x_category,x_token_types_json,path_params_schema_json,query_params_schema_json,headers_schema_json,request_body_schema_json,response_schema_json,rate_limit_notes,subscription_requirements,max_period_days,max_lookback_days,requires_jam,created_at,updated_at
1,wildberries,general.yaml,generated_get_ping,GET,https://common-api.wildberries.ru,/ping,"[""Проверка подключения к WB API""]",Проверка подключения к WB API,Проверка подключения,"Метод проверяет:
  1. Успешно ли запрос доходит до WB API
  2. Валидность токена авторизации и URL запроса
  3. Совпадают ли категория токена и сервис

<div class=""description_important"">
  Метод не предназначен для проверки доступности сервисов WB
</div>

У каждого сервиса есть свой вариант метода в зависимости от домена:

| Категория | URL запроса |
|---------------|-----------------------|
| Контент | `https://content-api.wildberries.ru/ping`<br>`https://content-api-sandbox.wildberries.ru/ping` |
| Аналитика | `https://seller-analytics-api.wildberries.ru/ping` |
| Цены и скидки | `https://discounts-prices-api.wildberries.ru/ping`<br>`https://discounts-prices-api-sandbox.wildberries.ru/ping` |
| Маркетплейс | `https://marketplace-api.wildberries.ru/ping` |
| Статистика | `https://statistics-api.wildberries.ru/ping`<br>`https://statistics-api-sandbox.wildberries.ru/ping` |
| Продвижение | `https://advert-api.wildberries.ru/ping`<br>`https://advert-api-sandbox.wildberries.ru/ping` |
| Вопросы и отзывы | `https://feedbacks-api.wildberries.ru/ping`<br>`https://feedbacks-api-sandbox.wildberries.ru/ping` |
| Чат с покупателями | `https://buyer-chat-api.wildberries.ru/ping` |
| Поставки | `https://supplies-api.wildberries.ru/ping` |
| Возвраты покупателями | `https://returns-api.wildberries.ru/ping` |
| Документы | `https://documents-api.wildberries.ru/ping` |
| Финансы | `https://finance-api.wildberries.ru/ping` |
| Тарифы, Новости, Получить информацию о продавце | `https://common-api.wildberries.ru/ping` |
| Управление пользователями продавца | `https://user-management-api.wildberries.ru/ping` |

<div class=""description_limit"">
  Максимум 3 запроса за 30 <a href=""/openapi/api-information#tag/Vvedenie/Limity-zaprosov"">секунд</a>. Если попытаться автоматизировать использование метода, запросы будут временно заблокированы. Лимит действует отдельно для каждого варианта метода в зависимости от домена
</div>
",1,all,[],{},{},"{""Authorization"":{""description"":""WB API authorization header supplied by executor_secret."",""in"":""header"",""required"":true,""type"":""apiKey""}}",{},"{""200"":{""content"":{""application/json"":{""example"":{""Status"":""OK"",""TS"":""2024-08-16T11:19:05+03:00""},""schema"":{""properties"":{""Status"":{""description"":""Статус"",""enum"":[""OK""],""type"":""string""},""TS"":{""description"":""Timestamp запроса"",""type"":""string""}},""type"":""object""}}},""description"":""Успешно""},""401"":{""$ref"":""#/components/responses/401""},""429"":{""$ref"":""#/components/responses/429""}}","Максимум 3 запроса за 30 секунд . Если попытаться автоматизировать использование метода, запросы будут временно заблокированы. Лимит действует отдельно для каждого варианта метода в зависимости от домена",,,,0,2026-04-26 10:02:39,2026-04-26 10:02:39
2,wildberries,general.yaml,generated_post_api_v1_invite,POST,https://user-management-api.wildberries.ru,/api/v1/invite,"[""Управление пользователями продавца""]",Управление пользователями продавца,Создать приглашение для нового пользователя,"<div class=""description_token"">
Метод доступен по<strong> Персональному</strong> <a href=""/openapi/api-information#tag/Avtorizaciya/Pravila-ispolzovaniya-tokenov-dostupa-k-API"">токену</a>
</div>

Метод создаёт приглашение для нового пользователя с настройкой доступов к разделам профиля продавца.<br>
Как выдаются права доступа:
- Если `access` пустой (`[]`) или не указан — по умолчанию выдаются все доступы, кроме доступов к витрине (`showcase`) и **Джем** (`changeJam`)
- Если в `access` указана часть разделов профиля, то кроме тех доступов, что указаны в запросе, также выдаются все доступы по умолчанию
- Если в `access` перечислены все возможные разделы, доступы будут выданы согласно запросу, без доступов по умолчанию
- Если в `access` дважды указан один и тот же раздел (`code`):
  - при разных значениях `disabled` (`true` и `false`) доступ не будет выдан
  - при одинаковых значениях `""disabled"": true` доступ не будет выдан
  - при одинаковых значениях `""disabled"": false` доступ будет выдан

<div class=""description_limit"">
<a href=""/openapi/api-information#tag/Vvedenie/Limity-zaprosov"">Лимит запросов</a> на один аккаунт продавца:

| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 сек | 1 запрос | 1 сек | 5 запросов |
</div>
",0,usermanagement,"[""personal""]",{},{},"{""Authorization"":{""description"":""WB API authorization header supplied by executor_secret."",""in"":""header"",""required"":true,""type"":""apiKey""}}","{""content"":{""application/json"":{""schema"":{""$ref"":""#/components/schemas/createInviteRequest""}}},""required"":true}","{""200"":{""content"":{""application/json"":{""schema"":{""$ref"":""#/components/schemas/createInviteResponse""}}},""description"":""Успешно""},""400"":{""content"":{""application/json"":{""schema"":{""$ref"":""#/components/schemas/errorResponse""}}},""description"":""Неправильный запрос""},""401"":{""$ref"":""#/components/responses/401""},""429"":{""$ref"":""#/components/responses/429""}}","Лимит запросов на один аккаунт продавца:
| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 сек | 1 запрос | 1 сек | 5 запросов |",Метод доступен по Персональному токену,,,0,2026-04-26 10:02:39,2026-04-26 10:02:39
3,wildberries,general.yaml,generated_put_api_v1_users_access,PUT,https://user-management-api.wildberries.ru,/api/v1/users/access,"[""Управление пользователями продавца""]",Управление пользователями продавца,Изменить права доступа пользователей,"<div class=""description_token"">
Метод доступен по<strong> Персональному</strong> <a href=""/openapi/api-information#tag/Avtorizaciya/Pravila-ispolzovaniya-tokenov-dostupa-k-API"">токену</a>
</div>

Метод меняет права доступа одному или нескольким пользователям.<br>
<br>
Обновляются только права доступа, переданные в параметрах запроса. Остальные поля остаются без изменений.

<div class=""description_limit"">
<a href=""/openapi/api-information#tag/Vvedenie/Limity-zaprosov"">Лимит запросов</a> на один аккаунт продавца:

| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 сек | 1 запрос | 1 сек | 5 запросов |
</div>
",0,usermanagement,"[""personal""]",{},{},"{""Authorization"":{""description"":""WB API authorization header supplied by executor_secret."",""in"":""header"",""required"":true,""type"":""apiKey""}}","{""content"":{""application/json"":{""schema"":{""$ref"":""#/components/schemas/updateUserAccessRequest""}}},""required"":true}","{""200"":{""description"":""Успешно""},""400"":{""content"":{""application/json"":{""schema"":{""$ref"":""#/components/schemas/errorResponse""}}},""description"":""Неправильный запрос""},""401"":{""$ref"":""#/components/responses/401""},""429"":{""$ref"":""#/components/responses/429""}}","Лимит запросов на один аккаунт продавца:
| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 сек | 1 запрос | 1 сек | 5 запросов |",Метод доступен по Персональному токену,,,0,2026-04-26 10:02:39,2026-04-26 10:02:39
4,wildberries,general.yaml,generated_get_api_communications_v2_news,GET,https://common-api.wildberries.ru,/api/communications/v2/news,"[""API новостей""]",API новостей,Получение новостей портала продавцов,"Метод позволяет получать новости портала продавцов. <br> Для получения успешного ответа необходимо указать
один из параметров `from` или `fromID`. <br> За один запрос можно получить не более 100 новостей.

<div class=""description_limit"">
<a href=""/openapi/api-information#tag/Vvedenie/Limity-zaprosov"">Лимит запросов</a> на один аккаунт продавца:

| Тип | Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- | --- |
| Персональный | 1 мин | 1 запрос | 1 мин | 10 запросов |
| Сервисный | 1 мин | 1 запрос | 1 мин | 10 запросов |
| Базовый | 1 ч | 1 запрос | 1 ч | 1 запрос |
</div>
",1,commonapi,[],{},"{""from"":{""description"":""Дата, от которой необходимо выдать новости"",""required"":false,""schema"":{""example"":""2025-02-06"",""format"":""date"",""type"":""string""}},""fromID"":{""description"":""ID новости, начиная с которой — включая её — нужно получить список новостей"",""required"":false,""schema"":{""format"":""uint64"",""type"":""integer""}}}","{""Authorization"":{""description"":""WB API authorization header supplied by executor_secret."",""in"":""header"",""required"":true,""type"":""apiKey""}}",{},"{""200"":{""content"":{""application/json"":{""example"":{""data"":[{""content"":""Теперь в кампаниях ВБ.Медиа вы можете размещать баннеры для пользователей, которые взаимодействовали\nс товарами из определённой категории: покупали, искали, добавляли в корзину и избранное. Также можно\nвыбрать период, за который хотите учитывать эти действия.Например, вы продаёте обувь. Рекламу можно\nпоказать людям, которые добавляли в корзину или избранное товары из этой категории за последние 14\nдней. Возможно, пользователи, которые попадают под этот критерий, уже совершили покупку. Поэтому вы\nможете уточнить настройки показа: добавить параметр «Не покупал товар из категории „Обувь“ в последние\n14 дней». Так вероятность того, что ваш баннер приведёт к покупке, будет выше.Чтобы запустить рекламу,\nсоздайте в кабинете ВБ.Медиа кампанию «По показам» и на шаге 4 включите «Поведенческие параметры».\nЭти параметры можно комбинировать с таргетированием по предполагаемым интересам, полу, возрасту и\nрегиону.Подробнее о том, как настроить таргетинг, — в инструкции «По показам».Запустить рекламу на\nWildberries\n"",""date"":""2025-02-05T14:10:35+03:00"",""header"":""Новые настройки кампаний в ВБ.Медиа: таргетируйте рекламу в зависимости от того, как аудитория\nиспользует сервисы Wildberries\n"",""id"":7369,""types"":[{""id"":4,""name"":""Маркетинг""}]},{""content"":""Добавили получение отчётов по текстам поисковых запросов в формате CSV. В описания методов «Создать\nотчёт» и «Получить отчёт» добавили описания и примеры моделей: • запросов — SearchReportTextReq, •\nуспешных ответов (статус-код 200) — SearchReportTextRes.В ответ метода «Поисковые запросы по товару»\nдобавили 8 полей и структуры price и medianPosition. Узнать больше можно в Журнале изменений.Эти методы\nдоступны только с подпиской «Джем»\n"",""date"":""2025-02-06T18:14:58+03:00"",""header"":""Изменения в API «Аналитики и данных»"",""id"":7373,""types"":[{""id"":8,""name"":""API""},{""id"":41,""name"":""Аналитика продавца""}]}]},""schema"":{""properties"":{""data"":{""description"":""Новости"",""items"":{""properties"":{""content"":{""description"":""Текст новости"",""format"":""plaintext"",""type"":""string""},""date"":{""description"":""Дата и время публикации новости"",""format"":""date-time"",""type"":""string""},""header"":{""description"":""Заголовок новости"",""type"":""string""},""id"":{""description"":""ID новости"",""type"":""integer""},""types"":{""description"":""Теги новости"",""items"":{""properties"":{""id"":{""description"":""ID тега"",""type"":""integer""},""name"":{""description"":""Название тега"",""type"":""string""}},""type"":""object""},""type"":""array""}},""type"":""object""},""type"":""array""}},""type"":""object""}}},""description"":""Успешно""},""400"":{""description"":""Неправильный запрос""},""401"":{""$ref"":""#/components/responses/401""},""429"":{""$ref"":""#/components/responses/429""}}","Лимит запросов на один аккаунт продавца:
| Тип | Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- | --- |
| Персональный | 1 мин | 1 запрос | 1 мин | 10 запросов |
| Сервисный | 1 мин | 1 запрос | 1 мин | 10 запросов |
| Базовый | 1 ч | 1 запрос | 1 ч | 1 запрос |",,,,0,2026-04-26 10:02:39,2026-04-26 10:02:39
5,wildberries,general.yaml,generated_get_api_v1_seller_info,GET,https://common-api.wildberries.ru,/api/v1/seller-info,"[""Информация о продавце""]",Информация о продавце,Получить информацию о продавце,"<div class=""description_auth"">
  Информацию о продавце можно получить с <a href=""/openapi/api-information#tag/Avtorizaciya/Kak-sozdat-personalnyj-bazovyj-ili-testovyj-token"">токеном</a> любой категории
</div>

Метод позволяет получать наименование продавца и ID его профиля.

<div class=""description_limit"">
<a href=""/openapi/api-information#tag/Vvedenie/Limity-zaprosov"">Лимит запросов</a> на один аккаунт продавца:

| Тип | Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- | --- |
| Персональный | 1 мин | 1 запрос | 1 мин | 10 запросов |
| Сервисный | 1 мин | 1 запрос | 1 мин | 10 запросов |
| Базовый | 24 ч | 1 запрос | 24 ч | 1 запрос |
</div>
",1,commonapi,[],{},{},"{""Authorization"":{""description"":""WB API authorization header supplied by executor_secret."",""in"":""header"",""required"":true,""type"":""apiKey""}}",{},"{""200"":{""content"":{""application/json"":{""example"":{""name"":""ИП Кружинин В. Р."",""sid"":""e8923014-e233-47q8-898e-3cc86d67ea61"",""tin"":""1234567890"",""tradeMark"":""Flax Store""},""schema"":{""properties"":{""name"":{""description"":""Наименование продавца"",""type"":""string""},""sid"":{""description"":""Уникальный ID продавца на Wildberries, [находящийся в публичном поле токена](./api-information#tag/Avtorizaciya/Kak-ustroen-token)"",""format"":""UUID"",""type"":""string""},""tin"":{""description"":""ИНН"",""type"":""string""},""tradeMark"":{""description"":""Торговое наименование продавца"",""type"":""string""}},""type"":""object""}}},""description"":""Успешно""},""401"":{""$ref"":""#/components/responses/401""},""402"":{""$ref"":""#/components/responses/402""},""429"":{""$ref"":""#/components/responses/429""}}","Лимит запросов на один аккаунт продавца:
| Тип | Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- | --- |
| Персональный | 1 мин | 1 запрос | 1 мин | 10 запросов |
| Сервисный | 1 мин | 1 запрос | 1 мин | 10 запросов |
| Базовый | 24 ч | 1 запрос | 24 ч | 1 запрос |",Информацию о продавце можно получить с токеном любой категории,,,0,2026-04-26 10:02:39,2026-04-26 10:02:39
6,wildberries,general.yaml,getCommonV1Rating,GET,https://feedbacks-api.wildberries.ru,/api/common/v1/rating,"[""Информация о продавце""]",Информация о продавце,Получить рейтинг продавца,"<div class=""description_auth"">
  Для доступа к методу используйте <a href=""/openapi/api-information#tag/Avtorizaciya/Kak-sozdat-personalnyj-bazovyj-ili-testovyj-token"">токен</a> для категории <strong>Вопросы и отзывы</strong>
</div>

<div class=""description_token"">
Метод доступен по<strong> Сервисному</strong> <a href=""/openapi/api-information#tag/Avtorizaciya/Pravila-ispolzovaniya-tokenov-dostupa-k-API"">токену</a>
</div>

Метод возвращает пользовательский рейтинг продавца и количество отзывов.

<div class=""description_limit"">
<a href=""/openapi/api-information#tag/Vvedenie/Limity-zaprosov"">Лимит запросов</a> на один аккаунт продавца:

| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 мин | 1 запрос | 1 мин | 1 запрос |
</div>
",1,questionsandfeedback,"[""service""]",{},{},"{""Authorization"":{""description"":""WB API authorization header supplied by executor_secret."",""in"":""header"",""required"":true,""type"":""apiKey""}}",{},"{""200"":{""content"":{""application/json"":{""schema"":{""$ref"":""#/components/schemas/SupplierRatingModel""}}},""description"":""Успешно""},""401"":{""$ref"":""#/components/responses/401""},""429"":{""$ref"":""#/components/responses/429""}}","Лимит запросов на один аккаунт продавца:
| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 мин | 1 запрос | 1 мин | 1 запрос |","Для доступа к методу используйте токен для категории Вопросы и отзывы
Метод доступен по Сервисному токену",,,0,2026-04-26 10:02:39,2026-04-26 10:02:39
7,wildberries,general.yaml,getCommonV1Subscriptions,GET,https://common-api.wildberries.ru,/api/common/v1/subscriptions,"[""Информация о продавце""]",Информация о продавце,Получить информацию о подписке Джем,"<div class=""description_auth"">
  Информацию о подписке Джем можно получить с <a href=""/openapi/api-information#tag/Avtorizaciya/Kak-sozdat-personalnyj-bazovyj-ili-testovyj-token"">токеном</a> любой категории
</div>

<div class=""description_token"">
Метод доступен по<strong> Сервисному</strong> <a href=""/openapi/api-information#tag/Avtorizaciya/Pravila-ispolzovaniya-tokenov-dostupa-k-API"">токену</a>
</div>

Метод возвращает информацию о подписке [Джем](https://seller.wildberries.ru/monetization/jam):
  - Если продавец никогда не подключал подписку Джем, возвращается пустой ответ `200`.
  - Если продавец активировал и никогда не отменял подписку, возвращается:
    - дата активации подписки `since`
    - дата окончания текущего оплаченного периода `till`
  - Если подписка закончилась или была отменена, но продавец подключил её повторно, возвращается:
    - дата первой активации подписки `since`
    - дата окончания текущего оплаченного периода `till`
  - Если подписка неактивна, возвращается:
    - дата первой активации подписки `since`
    - дата окончания последнего оплаченного периода `till`

<div class=""description_limit"">
<a href=""/openapi/api-information#tag/Vvedenie/Limity-zaprosov"">Лимит запросов</a> на один аккаунт продавца:

| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 мин | 1 запрос | 1 мин | 10 запросов |
</div>
",1,commonapi,"[""service""]",{},{},"{""Authorization"":{""description"":""WB API authorization header supplied by executor_secret."",""in"":""header"",""required"":true,""type"":""apiKey""}}",{},"{""200"":{""content"":{""application/json"":{""schema"":{""$ref"":""#/components/schemas/SubscriptionsJamInfo""}}},""description"":""Успешно""},""401"":{""$ref"":""#/components/responses/401""},""429"":{""$ref"":""#/components/responses/429""}}","Лимит запросов на один аккаунт продавца:
| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 мин | 1 запрос | 1 мин | 10 запросов |","Информацию о подписке Джем можно получить с токеном любой категории
Метод доступен по Сервисному токену",,,0,2026-04-26 10:02:39,2026-04-26 10:02:39
8,wildberries,general.yaml,generated_get_api_v1_users,GET,https://user-management-api.wildberries.ru,/api/v1/users,"[""Управление пользователями продавца""]",Управление пользователями продавца,Получить список активных или приглашённых пользователей продавца,"<div class=""description_token"">
Метод доступен по<strong> Персональному</strong> <a href=""/openapi/api-information#tag/Avtorizaciya/Pravila-ispolzovaniya-tokenov-dostupa-k-API"">токену</a>
</div>

Метод возвращает список активных или приглашённых пользователей профиля продавца.<br><br>
Чтобы выбрать список, укажите значение параметра `isInviteOnly`:
  - `isInviteOnly=true` — список приглашённых пользователей, которые ещё не активировали доступ
  - `isInviteOnly=false` или не указан — список активных пользователей

По каждому пользователю можно получить:
  - роль пользователя
  - разделы, к которым есть доступы
  - статус приглашения

Список приглашённых пользователей в ответе всегда отсортирован по дате создания: от новых до старых.

<div class=""description_limit"">
<a href=""/openapi/api-information#tag/Vvedenie/Limity-zaprosov"">Лимит запросов</a> на один аккаунт продавца:

| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 сек | 1 запрос | 1 сек | 5 запросов |
</div>
",1,usermanagement,"[""personal""]",{},"{""isInviteOnly"":{""description"":""- `true` — список приглашённых пользователей, которые ещё не активировали доступ\n- `false` или не указан — список активных пользователей профиля продавца\n"",""required"":false,""schema"":{""default"":false,""type"":""boolean""}},""limit"":{""description"":""Количество активных или приглашённых пользователей в ответе"",""required"":false,""schema"":{""default"":100,""format"":""int64"",""maximum"":100,""type"":""integer""}},""offset"":{""description"":""Сколько элементов пропустить. Например, для значения 10 ответ начнется с 11 элемента\n"",""required"":false,""schema"":{""default"":0,""format"":""int64"",""type"":""integer""}}}","{""Authorization"":{""description"":""WB API authorization header supplied by executor_secret."",""in"":""header"",""required"":true,""type"":""apiKey""}}",{},"{""200"":{""content"":{""application/json"":{""examples"":{""invitesOnly"":{""description"":""Список приглашённых пользователей"",""summary"":""isInviteOnly=true"",""value"":{""countInResponse"":2,""total"":2,""users"":[{""access"":[{""code"":""supply"",""disabled"":true},{""code"":""changeJam"",""disabled"":true},{""code"":""showcase"",""disabled"":false},{""code"":""suppliersDocuments"",""disabled"":false},{""code"":""discountPrice"",""disabled"":true},{""code"":""feedbacks"",""disabled"":false},{""code"":""questions"",""disabled"":false},{""code"":""wbPoint"",""disabled"":false},{""code"":""brands"",""disabled"":true},{""code"":""pointsForReviews"",""disabled"":false},{""code"":""pinFeedbacks"",""disabled"":false},{""code"":""finance"",""disabled"":true},{""code"":""feedbacksQuestions"",""disabled"":false},{""code"":""balance"",""disabled"":false},{""code"":""oldAnalyticsReports"",""disabled"":false},{""code"":""marketplace"",""disabled"":false}],""email"":"""",""firstName"":"""",""goodsReturn"":false,""id"":0,""inviteeInfo"":{""expiredAt"":""2025-12-01T00:00:00Z"",""inviteUuid"":""00000000-0000-4000-8000-000000000001"",""isActive"":true,""phoneNumber"":""79998888888"",""position"":""Аналитик""},""isInvitee"":true,""isOwner"":false,""patronymic"":"""",""phone"":""79998888888"",""position"":""Аналитик"",""role"":"""",""secondName"":""""},{""access"":[{""code"":""supply"",""disabled"":true},{""code"":""changeJam"",""disabled"":true},{""code"":""showcase"",""disabled"":false},{""code"":""suppliersDocuments"",""disabled"":false},{""code"":""discountPrice"",""disabled"":true},{""code"":""feedbacks"",""disabled"":false},{""code"":""questions"",""disabled"":false},{""code"":""wbPoint"",""disabled"":false},{""code"":""brands"",""disabled"":true},{""code"":""pointsForReviews"",""disabled"":false},{""code"":""pinFeedbacks"",""disabled"":false},{""code"":""finance"",""disabled"":true},{""code"":""feedbacksQuestions"",""disabled"":false},{""code"":""balance"",""disabled"":false},{""code"":""oldAnalyticsReports"",""disabled"":false},{""code"":""marketplace"",""disabled"":false}],""email"":"""",""firstName"":"""",""goodsReturn"":false,""id"":0,""inviteeInfo"":{""expiredAt"":""2025-12-10T00:00:00Z"",""inviteUuid"":""00000000-0000-4000-8000-000000000002"",""isActive"":false,""phoneNumber"":""79996666666"",""position"":""Аналитик""},""isInvitee"":true,""isOwner"":false,""patronymic"":"""",""phone"":""7999XXXX102"",""position"":"""",""role"":"""",""secondName"":""""}]}},""usersOnly"":{""description"":""Список активных пользователей"",""summary"":""isInviteOnly=false"",""value"":{""countInResponse"":2,""total"":2,""users"":[{""access"":[{""code"":""supply"",""disabled"":true},{""code"":""changeJam"",""disabled"":true},{""code"":""showcase"",""disabled"":false},{""code"":""suppliersDocuments"",""disabled"":false},{""code"":""discountPrice"",""disabled"":true},{""code"":""feedbacks"",""disabled"":false},{""code"":""questions"",""disabled"":false},{""code"":""wbPoint"",""disabled"":false},{""code"":""brands"",""disabled"":true},{""code"":""pointsForReviews"",""disabled"":false},{""code"":""pinFeedbacks"",""disabled"":false},{""code"":""finance"",""disabled"":true},{""code"":""feedbacksQuestions"",""disabled"":false},{""code"":""balance"",""disabled"":false},{""code"":""oldAnalyticsReports"",""disabled"":false},{""code"":""marketplace"",""disabled"":false}],""email"":""user1@example.com"",""firstName"":""Иван"",""goodsReturn"":true,""id"":1001,""inviteeInfo"":null,""isInvitee"":false,""isOwner"":true,""patronymic"":"""",""phone"":""79999999999"",""position"":""Аналитик"",""role"":""user"",""secondName"":""Иванов""},{""access"":[{""code"":""supply"",""disabled"":true},{""code"":""changeJam"",""disabled"":true},{""code"":""showcase"",""disabled"":false},{""code"":""suppliersDocuments"",""disabled"":false},{""code"":""discountPrice"",""disabled"":true},{""code"":""feedbacks"",""disabled"":false},{""code"":""questions"",""disabled"":false},{""code"":""wbPoint"",""disabled"":false},{""code"":""brands"",""disabled"":true},{""code"":""pointsForReviews"",""disabled"":false},{""code"":""pinFeedbacks"",""disabled"":false},{""code"":""finance"",""disabled"":true},{""code"":""feedbacksQuestions"",""disabled"":false},{""code"":""balance"",""disabled"":false},{""code"":""oldAnalyticsReports"",""disabled"":false},{""code"":""marketplace"",""disabled"":false}],""email"":""user2@example.com"",""firstName"":""Владимир"",""goodsReturn"":true,""id"":1002,""inviteeInfo"":{""expiredAt"":""2025-12-01T00:00:00Z"",""inviteUuid"":""00000000-0000-4000-8000-000000000001"",""isActive"":true,""phoneNumber"":""79997777777"",""position"":""Менеджер""},""isInvitee"":true,""isOwner"":false,""patronymic"":"""",""phone"":""79997777777"",""position"":""Менеджер"",""role"":""user"",""secondName"":""Смирнов""}]}}},""schema"":{""$ref"":""#/components/schemas/getUsersResponse""}}},""description"":""Успешно""},""400"":{""content"":{""application/json"":{""schema"":{""$ref"":""#/components/schemas/errorResponse""}}},""description"":""Неправильный запрос""},""401"":{""$ref"":""#/components/responses/401""},""429"":{""$ref"":""#/components/responses/429""}}","Лимит запросов на один аккаунт продавца:
| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 сек | 1 запрос | 1 сек | 5 запросов |",Метод доступен по Персональному токену,,,0,2026-04-26 10:02:39,2026-04-26 10:02:39
9,wildberries,general.yaml,generated_delete_api_v1_user,DELETE,https://user-management-api.wildberries.ru,/api/v1/user,"[""Управление пользователями продавца""]",Управление пользователями продавца,Удалить пользователя,"<div class=""description_token"">
Метод доступен по<strong> Персональному</strong> <a href=""/openapi/api-information#tag/Avtorizaciya/Pravila-ispolzovaniya-tokenov-dostupa-k-API"">токену</a>
</div>

Метод удаляет пользователя из [списка сотрудников продавца](/openapi/api-information#tag/Upravlenie-polzovatelyami-prodavca/paths/~1api~1v1~1users/get). Этому пользователю будет закрыт доступ в профиль продавца.

<div class=""description_limit"">
<a href=""/openapi/api-information#tag/Vvedenie/Limity-zaprosov"">Лимит запросов</a> на один аккаунт продавца:

| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 сек | 1 запрос | 1 сек | 10 запросов |
</div>
",0,usermanagement,"[""personal""]",{},"{""deletedUserID"":{""description"":""ID пользователя, которому будет закрыт доступ"",""required"":true,""schema"":{""format"":""int64"",""type"":""integer""}}}","{""Authorization"":{""description"":""WB API authorization header supplied by executor_secret."",""in"":""header"",""required"":true,""type"":""apiKey""}}",{},"{""200"":{""description"":""Успешно""},""400"":{""content"":{""application/json"":{""schema"":{""$ref"":""#/components/schemas/errorResponse""}}},""description"":""Неправильный запрос""},""401"":{""$ref"":""#/components/responses/401""},""429"":{""$ref"":""#/components/responses/429""}}","Лимит запросов на один аккаунт продавца:
| Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- |
| 1 сек | 1 запрос | 1 сек | 10 запросов |",Метод доступен по Персональному токену,,,0,2026-04-26 10:02:39,2026-04-26 10:02:39
10,wildberries,products.yaml,generated_get_api_v2_quarantine_goods,GET,https://discounts-prices-api.wildberries.ru,/api/v2/quarantine/goods,"[""Цены и скидки""]",Цены и скидки,Получить товары в карантине,"Метод возвращает информацию о товарах в карантине.
<br><br>
Если новая цена товара со скидкой будет минимум в 3 раза меньше старой, товар попадёт в [карантин](https://seller.wildberries.ru/instructions/ru/ru/material/price-quarantine) и будет продаваться по старой цене. Ошибка об этом будет в ответах методов [состояний загрузок](/openapi/work-with-products#tag/Ceny-i-skidki/paths/~1api~1v2~1history~1tasks/get).
<br><br>
Вы можете изменить цену или скидку с помощью API либо вывести товар из карантина в [личном кабинете](https://seller.wildberries.ru/discount-and-prices/quarantine).
<br><br>
Для товаров с [поразмерной установкой цен](/openapi/work-with-products#tag/Ceny-i-skidki/paths/~1api~1v2~1upload~1task~1size/post) карантин не применяется.

<div class=""description_limit"">
<a href=""/openapi/api-information#tag/Vvedenie/Limity-zaprosov"">Лимит запросов</a> на один аккаунт продавца для всех методов категории <strong>Цены и скидки</strong>:

| Тип | Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- | --- |
| Персональный | 6 сек | 10 запросов | 600 мс | 5 запросов |
| Сервисный | 6 сек | 10 запросов | 600 мс | 5 запросов |
| Базовый | 1 ч | 4 запроса | 15 мин | 1 запрос |
</div>
",1,discountsandprices,[],{},{},"{""Authorization"":{""description"":""WB API authorization header supplied by executor_secret."",""in"":""header"",""required"":true,""type"":""apiKey""}}",{},"{""200"":{""$ref"":""#/components/responses/ResponseQuarantineGoods""},""400"":{""content"":{""application/json"":{""examples"":{""InvalidRequestParameters"":{""$ref"":""#/components/examples/InvalidRequestParameters""}},""schema"":{""$ref"":""#/components/schemas/ResponseError""}}},""description"":""Неправильный запрос""},""401"":{""$ref"":""#/components/responses/401""},""402"":{""$ref"":""#/components/responses/402""},""403"":{""content"":{""application/json"":{""examples"":{""AccessDenied"":{""$ref"":""#/components/examples/Result403""}},""schema"":{""$ref"":""#/components/schemas/ResponseError""}}},""description"":""Доступ запрещён""},""422"":{""content"":{""application/json"":{""examples"":{""UnexpectedResult"":{""$ref"":""#/components/examples/UnexpectedResult""}},""schema"":{""$ref"":""#/components/schemas/ResponseError""}}},""description"":""Неожидаемый результат""},""429"":{""$ref"":""#/components/responses/429""}}","Лимит запросов на один аккаунт продавца для всех методов категории Цены и скидки :
| Тип | Период | Лимит | Интервал | Всплеск |
| --- | --- | --- | --- | --- |
| Персональный | 6 сек | 10 запросов | 600 мс | 5 запросов |
| Сервисный | 6 сек | 10 запросов | 600 мс | 5 запросов |
| Базовый | 1 ч | 4 запроса | 15 мин | 1 запрос |",,,,0,2026-04-26 10:02:39,2026-04-26 10:02:39
